STNAM,FIPST,LEAID,ST_LEAID,LEANM,ALL_COHORT_1617,ALL_RATE_1617,MAM_COHORT_1617,MAM_RATE_1617,MAS_COHORT_1617,MAS_RATE_1617,MBL_COHORT_1617,MBL_RATE_1617,MHI_COHORT_1617,MHI_RATE_1617,MTR_COHORT_1617,MTR_RATE_1617,MWH_COHORT_1617,MWH_RATE_1617,CWD_COHORT_1617,CWD_RATE_1617,ECD_COHORT_1617,ECD_RATE_1617,LEP_COHORT_1617,LEP_RATE_1617,DATE_CUR
MICHIGAN,26,2600275,MI-13904,Battle Creek Area Learning Center,74,30-34,,,,,9,LT50,4,PS,12,LT50,49,30-39,21,21-39,50,30-39,,,17AUG18
MICHIGAN,26,2600277,MI-82973,Trillium Academy,31,80-89,,,2,PS,9,GE50,4,PS,,,16,GE80,3,PS,17,60-79,2,PS,17AUG18
MICHIGAN,26,2600281,MI-50906,Merritt Academy,40,GE90,,,,,2,PS,1,PS,2,PS,35,GE90,7,GE50,12,GE50,,,17AUG18
MICHIGAN,26,2600284,MI-63917,Bradford Academy,135,90-94,,,,,129,90-94,,,6,GE50,,,24,GE80,114,90-94,,,17AUG18
MICHIGAN,26,2600285,MI-17902,Ojibwe Charter School,10,GE50,9,GE50,,,,,,,,,1,PS,6,GE50,8,GE50,1,PS,17AUG18
MICHIGAN,26,2600291,MI-82975,Riverside Academy,69,GE95,,,,,2,PS,2,PS,,,65,GE95,3,PS,68,GE95,25,GE80,17AUG18
MICHIGAN,26,2600292,MI-63920,Life Skills Center of Pontiac,67,10-14,,,,,44,11-19,14,LT50,,,9,LT50,10,LT50,62,10-14,5,PS,17AUG18
MICHIGAN,26,2600295,MI-63921,Crescent Academy,25,GE80,,,,,25,GE80,,,,,,,4,PS,17,GE80,,,17AUG18
MICHIGAN,26,2600300,MI-82982,Universal Learning Academy,21,GE80,,,1,PS,2,PS,,,,,18,GE80,,,16,GE80,4,PS,17AUG18
MICHIGAN,26,2600301,MI-82987,Frontier International Academy,115,90-94,,,25,GE80,4,PS,1,PS,,,85,90-94,3,PS,115,90-94,59,80-89,17AUG18
MICHIGAN,26,2600316,MI-74911,St. Clair County Intervention Academy,13,LT50,2,PS,,,3,PS,1,PS,,,7,LT50,3,PS,13,LT50,,,17AUG18
MICHIGAN,26,2600317,MI-25911,Madison Academy,48,80-89,,,,,36,80-89,,,2,PS,10,GE50,16,GE80,33,80-89,,,17AUG18
MICHIGAN,26,2600318,MI-73911,Saginaw Learn to Earn Academy,33,20-29,,,1,PS,23,LE20,4,PS,1,PS,4,PS,9,LT50,33,20-29,1,PS,17AUG18
MICHIGAN,26,2600322,MI-82991,Covenant House Academy Detroit,234,12,1,PS,,,196,10-14,24,21-39,,,13,LT50,55,20-29,225,10-14,7,LT50,17AUG18
MICHIGAN,26,2600330,MI-56903,Academic and Career Education Academy,54,11-19,,,,,2,PS,4,PS,,,48,11-19,12,LT50,38,11-19,,,17AUG18
MICHIGAN,26,2600947,MI-82996,Clara B. Ford Academy (SDA),48,20-29,,,,,32,11-19,1,PS,1,PS,14,LT50,21,LE20,48,20-29,1,PS,17AUG18
MICHIGAN,26,2600949,MI-41922,Lighthouse Academy,91,25-29,,,1,PS,42,20-29,26,21-39,1,PS,21,21-39,20,LE20,86,25-29,24,21-39,17AUG18
MICHIGAN,26,2600951,MI-82716,Vista Meadows Academy,28,LE20,,,,,27,LE20,,,,,1,PS,7,LT50,28,LE20,1,PS,17AUG18
MICHIGAN,26,2600952,MI-82701,University Preparatory Science and Math (PSAD),125,85-89,,,,,120,85-89,,,5,PS,,,6,GE50,81,90-94,,,17AUG18
MICHIGAN,26,2600955,MI-39906,Youth Advancement Academy,21,40-59,,,1,PS,11,LT50,1,PS,7,GE50,1,PS,2,PS,18,21-39,1,PS,17AUG18
MICHIGAN,26,2600956,MI-82702,University Preparatory Academy (PSAD),133,90-94,,,,,129,90-94,1,PS,3,PS,,,17,GE80,101,90-94,,,17AUG18
MICHIGAN,26,2600961,MI-82703,Henry Ford Academy: School for Creative Studies (PSAD),114,90-94,,,,,114,90-94,,,,,,,11,GE50,108,90-94,,,17AUG18
MICHIGAN,26,2600967,MI-63924,Michigan Mathematics and Science Academy,32,GE90,,,,,20,GE80,,,,,12,GE50,3,PS,32,GE90,,,17AUG18
MICHIGAN,26,2600968,MI-74912,Virtual Learning Academy of St. Clair County,56,LE10,,,,,6,LT50,3,PS,,,47,LE10,8,LT50,36,LE10,,,17AUG18
MICHIGAN,26,2600969,MI-33911,Michigan Connections Academy,160,60-64,1,PS,,,21,40-59,8,GE50,12,GE50,118,60-64,22,21-39,72,50-54,,,17AUG18
MICHIGAN,26,2600972,MI-41925,Michigan Virtual Charter Academy,459,29,6,LT50,4,PS,51,20-29,29,21-39,31,20-29,338,30,61,15-19,380,34,11,LT50,17AUG18
MICHIGAN,26,2600974,MI-82722,Detroit Leadership Academy,36,70-79,,,,,32,80-89,,,,,4,PS,8,GE50,36,70-79,,,17AUG18
MICHIGAN,26,2600977,MI-41924,West Michigan Aviation Academy,137,90-94,1,PS,4,PS,21,GE80,26,GE80,6,GE50,79,GE95,4,PS,35,GE90,4,PS,17AUG18
MICHIGAN,26,2600980,MI-17903,DeTour Arts and Technology Academy,18,LE20,5,PS,,,,,,,,,13,LT50,2,PS,6,LT50,,,17AUG18
MICHIGAN,26,2600981,MI-41923,Wellspring Preparatory High School,102,70-74,,,2,PS,18,GE80,23,40-59,5,PS,54,80-89,3,PS,44,60-69,7,LT50,17AUG18
MICHIGAN,26,2600982,MI-23902,Relevant Academy of Eaton County,49,11-19,,,,,1,PS,4,PS,2,PS,42,20-29,8,LT50,28,LE20,,,17AUG18
MICHIGAN,26,2600984,MI-47903,FlexTech High School,104,60-64,1,PS,2,PS,,,3,PS,1,PS,97,60-64,7,LT50,25,40-59,,,17AUG18
MICHIGAN,26,2600988,MI-41926,Hope Academy of West Michigan,18,40-59,,,,,4,PS,12,GE50,,,2,PS,1,PS,13,GE50,10,LT50,17AUG18
MICHIGAN,26,2600989,MI-81909,Arbor Preparatory High School,80,80-84,,,4,PS,33,GE90,3,PS,6,GE50,34,70-79,6,GE50,28,60-79,,,17AUG18
MICHIGAN,26,2600992,MI-74914,Blue Water Middle College,213,45,1,PS,1,PS,5,PS,2,PS,,,204,45-49,1,PS,15,LT50,1,PS,17AUG18
MICHIGAN,26,2600993,MI-82728,Jalen Rose Leadership Academy,83,90-94,,,,,81,90-94,1,PS,1,PS,,,14,GE50,75,90-94,,,17AUG18
MICHIGAN,26,2601000,MI-09903,Bay City Academy,12,GE50,,,,,,,,,,,12,GE50,1,PS,9,GE50,,,17AUG18
MICHIGAN,26,2601001,MI-84060,Education Achievement Authority of Michigan,663,56,5,PS,3,PS,641,58,11,LT50,1,PS,2,PS,119,40-44,525,58,8,LT50,17AUG18
MICHIGAN,26,2601006,MI-81911,WSC Academy,40,40-49,,,1,PS,27,40-59,,,,,12,LT50,4,PS,37,40-49,1,PS,17AUG18
MICHIGAN,26,2601017,MI-41929,Nexus Academy of Grand Rapids,68,50-54,,,1,PS,9,GE50,17,40-59,8,LT50,33,40-49,11,LT50,48,40-49,4,PS,17AUG18
MICHIGAN,26,2601019,MI-33913,Nexus Academy of Lansing,106,40-44,1,PS,2,PS,14,LT50,13,LT50,14,LT50,62,55-59,14,LT50,43,20-29,2,PS,17AUG18
MICHIGAN,26,2601023,MI-82746,W-A-Y Academy,121,10-14,1,PS,,,48,11-19,42,LE10,,,30,LE20,17,LE20,112,10-14,29,LE20,17AUG18
MICHIGAN,26,2601025,MI-41927,Grand Rapids Ellington Academy of Arts & Technology,18,21-39,,,,,14,LT50,2,PS,,,2,PS,3,PS,14,LT50,,,17AUG18
MICHIGAN,26,2601028,MI-72901,Charlton Heston Academy,30,60-79,1,PS,,,,,3,PS,,,26,60-79,2,PS,22,60-79,,,17AUG18
MICHIGAN,26,2601029,MI-61905,Muskegon Heights Public School Academy System,52,60-69,,,,,52,60-69,,,,,,,13,GE50,45,60-69,,,17AUG18
MICHIGAN,26,2601030,MI-82741,Cornerstone Health and Technology School,77,75-79,,,,,70,75-79,,,7,GE50,,,9,GE50,62,75-79,,,17AUG18
MICHIGAN,26,2601034,MI-35902,Alternative Educational Academy of Iosco County,47,11-19,,,1,PS,,,,,2,PS,44,11-19,8,LT50,42,11-19,,,17AUG18
MICHIGAN,26,2601040,MI-70909,ICademy Global,37,30-39,1,PS,2,PS,2,PS,5,PS,1,PS,26,40-59,4,PS,13,LT50,1,PS,17AUG18
MICHIGAN,26,2601043,MI-63931,Oakland FlexTech Academy,49,70-79,,,1,PS,7,GE50,1,PS,,,40,70-79,5,PS,19,60-79,,,17AUG18
MICHIGAN,26,2601044,MI-38900,Jackson Preparatory & Early College,8,LT50,,,,,2,PS,,,1,PS,5,PS,1,PS,3,PS,,,17AUG18
MICHIGAN,26,2601050,MI-33914,Great Lakes Cyber Academy,315,48,4,PS,1,PS,34,30-39,19,21-39,15,GE50,242,50-54,52,20-29,158,35-39,10,LT50,17AUG18
MICHIGAN,26,2601056,MI-25915,WAY Academy - Flint,87,6-9,,,,,63,10-14,4,PS,,,20,LE20,19,LE20,75,6-9,1,PS,17AUG18
MICHIGAN,26,2601058,MI-23900,LifeTech Academy,47,20-29,,,,,8,LT50,8,LT50,4,PS,27,21-39,8,LT50,34,11-19,,,17AUG18
MICHIGAN,26,2601061,MI-82756,Taylor Preparatory High School,60,GE90,,,,,32,GE90,3,PS,1,PS,24,GE80,5,PS,35,80-89,,,17AUG18
MICHIGAN,26,2601062,MI-82704,Detroit Public Safety Academy,69,85-89,,,,,69,85-89,,,,,,,9,GE50,60,80-89,,,17AUG18
MICHIGAN,26,2601063,MI-39900,Lakeside Charter School,26,21-39,1,PS,,,12,LT50,6,GE50,,,7,LT50,8,LT50,25,21-39,,,17AUG18
MICHIGAN,26,2601065,MI-63930,Nexus Academy of Royal Oak,41,40-49,1,PS,,,24,21-39,1,PS,1,PS,14,GE50,7,LT50,19,21-39,,,17AUG18
MICHIGAN,26,2601066,MI-41900,Covenant House Academy Grand Rapids,141,15-19,,,4,PS,81,15-19,46,LE10,4,PS,6,LT50,17,LE20,134,15-19,38,20-29,17AUG18
MICHIGAN,26,2601070,MI-51905,Michigan Great Lakes Virtual Academy,375,29,3,PS,6,LT50,46,20-29,21,LE20,26,21-39,273,30-34,47,20-29,238,25-29,9,LT50,17AUG18
MICHIGAN,26,2601072,MI-33915,Blended Learning Academies Credit Recovery High School,41,30-39,1,PS,,,4,PS,7,LT50,2,PS,27,21-39,6,LT50,30,21-39,1,PS,17AUG18
MICHIGAN,26,2601074,MI-82710,WAY Michigan,42,20-29,1,PS,,,16,LE20,3,PS,,,22,21-39,3,PS,30,21-39,,,17AUG18
MICHIGAN,26,2601076,MI-82737,Pathways Academy,99,20-24,,,,,99,20-24,,,,,,,13,GE50,93,20-24,,,17AUG18
MICHIGAN,26,2601077,MI-23903,Insight School of Michigan,247,26,2,PS,3,PS,35,30-39,20,21-39,17,21-39,170,20-24,43,11-19,168,20-24,3,PS,17AUG18
MICHIGAN,26,2601080,MI-82711,Canton Preparatory High School,43,70-79,1,PS,5,PS,6,GE50,4,PS,2,PS,25,60-79,1,PS,8,GE50,2,PS,17AUG18
MICHIGAN,26,2601081,MI-82714,Detroit Delta Preparatory Academy for Social Justice,65,70-74,,,,,65,70-74,,,,,,,12,GE50,65,70-74,,,17AUG18
MICHIGAN,26,2601088,MI-61906,Muskegon Covenant Academy,91,10-14,,,,,61,15-19,10,LT50,4,PS,16,LE20,11,LT50,91,10-14,3,PS,17AUG18
MICHIGAN,26,2601091,MI-82759,Regents Academy,111,10-14,2,PS,,,40,11-19,13,LT50,1,PS,55,11-19,6,LT50,82,10-14,1,PS,17AUG18
MICHIGAN,26,2601092,MI-65900,Alternative Educational Academy of Ogemaw County,44,11-19,,,,,1,PS,2,PS,1,PS,40,11-19,4,PS,40,11-19,,,17AUG18
MICHIGAN,26,2601095,MI-41930,Grand River Preparatory High School,133,85-89,,,3,PS,22,60-79,42,80-89,5,PS,61,90-94,4,PS,60,80-89,3,PS,17AUG18
MICHIGAN,26,2601097,MI-53901,Gateway To Success Academy,29,21-39,,,,,3,PS,2,PS,5,PS,19,21-39,5,PS,27,LE20,,,17AUG18
MICHIGAN,26,2601103,MI-82015,Detroit Public Schools Community District,3227,78,1,PS,82,85-89,2707,78,378,80,,,59,70-79,515,46,2284,76,264,70-74,17AUG18
MICHIGAN,26,2601105,MI-25917,The Paris Academy,51,20-29,,,1,PS,,,,,2,PS,48,20-29,2,PS,7,LT50,,,17AUG18
MICHIGAN,26,2601890,MI-31020,Adams Township School District,48,GE90,,,,,1,PS,,,1,PS,46,GE90,6,GE50,26,GE80,,,17AUG18
MICHIGAN,26,2601920,MI-46020,Addison Community Schools,57,80-89,,,1,PS,1,PS,3,PS,2,PS,50,80-89,12,GE50,23,60-79,,,17AUG18
MICHIGAN,26,2601950,MI-46010,Adrian School District of the City of,228,88,,,16,GE80,6,GE50,53,80-89,15,GE50,138,85-89,28,60-79,119,80-84,20,GE80,17AUG18
MICHIGAN,26,2601980,MI-58020,Airport Community Schools,205,81,5,PS,,,15,GE50,8,GE50,,,177,80-84,36,70-79,74,75-79,2,PS,17AUG18
MICHIGAN,26,2602010,MI-79010,Akron-Fairgrove Schools,22,GE80,,,,,,,2,PS,,,20,GE80,7,GE50,20,GE80,,,17AUG18
MICHIGAN,26,2602040,MI-05010,Alba Public Schools,7,GE50,,,,,,,,,1,PS,6,GE50,,,4,PS,,,17AUG18
MICHIGAN,26,2602160,MI-01010,Alcona Community Schools,59,GE90,,,1,PS,,,1,PS,,,57,GE90,7,LT50,35,80-89,,,17AUG18
MICHIGAN,26,2602190,MI-74030,Algonac Community School District,118,85-89,,,,,,,3,PS,2,PS,113,85-89,16,60-79,34,70-79,,,17AUG18
MICHIGAN,26,2602220,MI-03030,Allegan Public Schools,254,57,5,PS,2,PS,4,PS,12,GE50,7,LT50,224,60-64,23,21-39,109,30-34,3,PS,17AUG18
MICHIGAN,26,2602520,MI-82020,Allen Park Public Schools,310,86,1,PS,,,4,PS,31,80-89,,,274,85-89,38,70-79,86,70-74,3,PS,17AUG18
MICHIGAN,26,2602550,MI-70040,Allendale Public Schools,203,85,,,1,PS,4,PS,18,60-79,7,GE50,173,85-89,16,60-79,54,60-69,,,17AUG18
MICHIGAN,26,2602640,MI-29010,Alma Public Schools,138,90-94,2,PS,2,PS,1,PS,10,GE50,1,PS,122,90-94,30,GE80,55,GE90,,,17AUG18
MICHIGAN,26,2602670,MI-44020,Almont Community Schools,125,GE95,,,,,,,2,PS,1,PS,122,GE95,9,GE50,27,GE80,1,PS,17AUG18
MICHIGAN,26,2602730,MI-04010,Alpena Public Schools,336,84,3,PS,3,PS,3,PS,2,PS,6,GE50,319,84,46,70-79,154,75-79,1,PS,17AUG18
MICHIGAN,26,2602790,MI-50040,Anchor Bay School District,528,90,,,6,GE50,19,60-79,11,GE50,20,GE80,472,92,71,65-69,112,80-84,4,PS,17AUG18
MICHIGAN,26,2602820,MI-81010,Ann Arbor Public Schools,1363,90,8,GE50,179,90-94,247,80-84,74,75-79,85,85-89,770,93,129,60-64,253,70-74,28,GE80,17AUG18
MICHIGAN,26,2603060,MI-06010,Arenac Eastern School District,12,GE50,2,PS,,,,,1,PS,1,PS,8,GE50,3,PS,8,GE50,,,17AUG18
MICHIGAN,26,2603240,MI-50050,Armada Area Schools,162,90-94,,,1,PS,,,2,PS,2,PS,157,90-94,11,GE50,26,GE80,,,17AUG18
MICHIGAN,26,2603480,MI-29020,Ashley Community Schools,20,GE80,,,,,,,2,PS,,,18,GE80,4,PS,11,GE50,,,17AUG18
MICHIGAN,26,2603510,MI-13050,Athens Area Schools,44,GE90,,,,,,,,,,,44,GE90,3,PS,11,GE50,,,17AUG18
MICHIGAN,26,2603540,MI-25130,Atherton Community Schools,121,65-69,1,PS,,,40,70-79,7,LT50,2,PS,71,65-69,12,GE50,87,60-64,2,PS,17AUG18
MICHIGAN,26,2603570,MI-60010,Atlanta Community Schools,21,GE80,,,,,,,2,PS,,,19,GE80,4,PS,10,GE50,,,17AUG18
MICHIGAN,26,2603600,MI-06020,Au Gres-Sims School District,34,80-89,,,,,,,1,PS,,,33,80-89,2,PS,18,GE80,,,17AUG18
MICHIGAN,26,2603690,MI-63070,Avondale School District,275,92,2,PS,20,GE80,54,80-89,21,GE80,10,GE50,168,90-94,27,GE80,69,80-84,8,GE50,17AUG18
MICHIGAN,26,2603810,MI-43040,Baldwin Community Schools,30,60-79,,,,,14,GE50,1,PS,,,15,GE50,8,GE50,25,60-79,,,17AUG18
MICHIGAN,26,2603870,MI-80020,Bangor Public Schools (Van Buren),109,45-49,,,,,4,PS,30,60-79,5,PS,70,35-39,15,LT50,80,40-44,7,GE50,17AUG18
MICHIGAN,26,2603900,MI-09030,Bangor Township Schools,220,86,1,PS,,,5,PS,11,GE50,3,PS,200,85-89,17,60-79,98,80-84,,,17AUG18
MICHIGAN,26,2603990,MI-07020,Baraga Area Schools,43,70-79,12,GE50,,,,,,,4,PS,27,GE80,4,PS,23,60-79,,,17AUG18
MICHIGAN,26,2604020,MI-21090,Bark River-Harris School District,39,GE90,2,PS,,,,,,,1,PS,36,GE90,4,PS,18,GE80,,,17AUG18
MICHIGAN,26,2604170,MI-19100,Bath Community Schools,73,90-94,1,PS,1,PS,,,3,PS,2,PS,66,90-94,10,GE50,25,GE80,1,PS,17AUG18
MICHIGAN,26,2604260,MI-09010,Bay City School District,612,84,6,GE50,4,PS,14,GE50,38,70-79,24,GE80,526,86,87,65-69,243,70-74,6,GE50,17AUG18
MICHIGAN,26,2604290,MI-37040,Beal City Public Schools,55,GE90,1,PS,,,,,1,PS,,,53,GE90,10,GE50,12,GE50,,,17AUG18
MICHIGAN,26,2604320,MI-51020,Bear Lake Schools,18,GE80,,,,,,,,,,,18,GE80,,,9,GE50,,,17AUG18
MICHIGAN,26,2604350,MI-15010,Beaver Island Community School,6,LT50,1,PS,,,,,,,,,5,PS,1,PS,2,PS,1,PS,17AUG18
MICHIGAN,26,2604440,MI-26010,Beaverton Rural Schools,90,85-89,3,PS,1,PS,2,PS,3,PS,1,PS,80,85-89,15,GE50,40,80-89,,,17AUG18
MICHIGAN,26,2604470,MI-58030,Bedford Public Schools,407,91,2,PS,6,GE50,1,PS,21,GE80,1,PS,376,90,46,70-79,75,80-84,1,PS,17AUG18
MICHIGAN,26,2604500,MI-25240,Beecher Community School District,80,60-64,,,,,70,65-69,2,PS,3,PS,5,PS,9,LT50,65,55-59,1,PS,17AUG18
MICHIGAN,26,2604530,MI-34080,Belding Area School District,138,85-89,,,1,PS,2,PS,10,GE50,3,PS,122,85-89,15,GE50,74,80-84,4,PS,17AUG18
MICHIGAN,26,2604620,MI-05040,Bellaire Public Schools,28,GE80,,,,,,,,,,,28,GE80,4,PS,10,GE50,,,17AUG18
MICHIGAN,26,2604650,MI-23010,Bellevue Community Schools,38,50-59,,,,,,,2,PS,,,36,50-59,5,PS,15,GE50,,,17AUG18
MICHIGAN,26,2604740,MI-25060,Bendle Public Schools,95,70-74,1,PS,1,PS,12,GE50,4,PS,9,GE50,68,65-69,16,40-59,88,70-74,,,17AUG18
MICHIGAN,26,2604800,MI-25230,Bentley Community School District,78,75-79,1,PS,1,PS,6,GE50,10,GE50,3,PS,57,70-79,7,GE50,42,80-89,2,PS,17AUG18
MICHIGAN,26,2604830,MI-11010,Benton Harbor Area Schools,235,66,,,,,223,65-69,4,PS,4,PS,4,PS,35,20-29,166,60-64,1,PS,17AUG18
MICHIGAN,26,2604950,MI-10015,Benzie County Central Schools,114,70-74,7,LT50,,,1,PS,1,PS,1,PS,104,75-79,10,GE50,69,60-64,,,17AUG18
MICHIGAN,26,2605010,MI-63050,Berkley School District,338,94,,,7,GE50,68,90-94,8,GE50,5,PS,250,90-94,30,60-79,57,80-89,4,PS,17AUG18
MICHIGAN,26,2605430,MI-11240,Berrien Springs Public Schools,764,28,5,PS,16,GE80,93,30-34,114,20-24,43,30-39,493,27,39,20-29,461,24,42,20-29,17AUG18
MICHIGAN,26,2605690,MI-21065,Big Bay De Noc School District,17,GE80,1,PS,,,,,,,1,PS,15,GE50,3,PS,5,PS,,,17AUG18
MICHIGAN,26,2605780,MI-54010,Big Rapids Public Schools,207,77,1,PS,5,PS,11,GE50,6,GE50,3,PS,181,75-79,19,40-59,86,55-59,1,PS,17AUG18
MICHIGAN,26,2605820,MI-73170,Birch Run Area Schools,169,85-89,,,1,PS,4,PS,14,GE50,1,PS,149,85-89,18,60-79,63,75-79,,,17AUG18
MICHIGAN,26,2605850,MI-63010,Birmingham Public Schools,674,96,,,26,GE80,90,GE95,14,GE50,13,GE50,531,96,77,75-79,50,GE90,5,PS,17AUG18
MICHIGAN,26,2606000,MI-46040,Blissfield Community Schools,91,GE95,,,1,PS,1,PS,12,GE50,,,77,GE95,7,GE50,22,GE80,,,17AUG18
MICHIGAN,26,2606090,MI-63080,Bloomfield Hills Schools,448,95,1,PS,49,GE90,64,GE95,13,GE50,20,GE80,301,95,55,80-89,48,80-89,17,40-59,17AUG18
MICHIGAN,26,2606270,MI-80090,Bloomingdale Public School District,97,70-74,,,,,6,GE50,22,GE80,2,PS,67,70-74,9,GE50,77,70-74,11,GE50,17AUG18
MICHIGAN,26,2606500,MI-15020,Boyne City Public Schools,103,85-89,,,,,1,PS,2,PS,1,PS,99,85-89,17,60-79,49,80-89,,,17AUG18
MICHIGAN,26,2606510,MI-15030,Boyne Falls Public School District,10,GE50,,,,,,,,,,,10,GE50,2,PS,7,GE50,,,17AUG18
MICHIGAN,26,2606570,MI-63180,Brandon School District in the Counties of Oakland and Lapee,254,86,1,PS,7,GE50,16,GE80,16,GE80,6,GE50,208,85-89,23,40-59,52,60-69,6,GE50,17AUG18
MICHIGAN,26,2606600,MI-11210,Brandywine Community Schools,107,75-79,1,PS,1,PS,3,PS,4,PS,10,GE50,88,75-79,8,GE50,61,65-69,1,PS,17AUG18
MICHIGAN,26,2606630,MI-29040,Breckenridge Community Schools,66,85-89,,,,,,,6,GE50,,,60,GE90,8,GE50,23,GE80,1,PS,17AUG18
MICHIGAN,26,2606720,MI-22030,Breitung Township School District,124,90-94,,,4,PS,,,1,PS,2,PS,117,90-94,16,60-79,40,80-89,,,17AUG18
MICHIGAN,26,2606780,MI-73180,Bridgeport-Spaulding Community School District,132,75-79,1,PS,1,PS,67,75-79,24,60-79,3,PS,36,60-69,20,60-79,63,70-74,1,PS,17AUG18
MICHIGAN,26,2606840,MI-11340,Bridgman Public Schools,83,GE95,,,2,PS,2,PS,4,PS,3,PS,72,GE95,2,PS,25,GE80,2,PS,17AUG18
MICHIGAN,26,2606870,MI-47010,Brighton Area Schools,561,93,5,PS,12,GE50,7,GE50,17,GE80,3,PS,517,94,56,70-79,66,75-79,7,GE50,17AUG18
MICHIGAN,26,2606900,MI-17140,Brimley Area Schools,38,80-89,20,GE80,,,,,,,,,18,GE80,3,PS,17,GE80,,,17AUG18
MICHIGAN,26,2606930,MI-46050,Britton Deerfield Schools,54,GE90,,,1,PS,,,4,PS,,,49,GE90,7,GE50,11,GE50,,,17AUG18
MICHIGAN,26,2606960,MI-12020,Bronson Community School District,78,85-89,,,,,1,PS,14,GE50,,,63,85-89,8,GE50,31,70-79,3,PS,17AUG18
MICHIGAN,26,2606990,MI-38040,Columbia School District,139,75-79,,,4,PS,1,PS,2,PS,1,PS,131,75-79,25,GE80,46,50-59,,,17AUG18
MICHIGAN,26,2607040,MI-76060,Brown City Community Schools,74,90-94,2,PS,,,1,PS,2,PS,,,69,90-94,8,GE50,29,GE80,,,17AUG18
MICHIGAN,26,2607080,MI-82180,Flat Rock Community Schools,155,75-79,1,PS,1,PS,10,GE50,12,GE50,4,PS,127,75-79,15,GE50,65,65-69,,,17AUG18
MICHIGAN,26,2607140,MI-11310,Buchanan Community Schools,137,80-84,2,PS,,,6,GE50,4,PS,9,GE50,116,80-84,9,GE50,51,70-79,1,PS,17AUG18
MICHIGAN,26,2607170,MI-28035,Buckley Community Schools,39,70-79,,,,,,,3,PS,2,PS,34,70-79,5,PS,21,60-79,,,17AUG18
MICHIGAN,26,2607320,MI-56020,Bullock Creek School District,123,GE95,,,1,PS,,,3,PS,,,119,GE95,16,60-79,23,GE80,1,PS,17AUG18
MICHIGAN,26,2607410,MI-75020,Burr Oak Community School District,14,GE50,,,1,PS,,,1,PS,,,12,GE50,2,PS,8,GE50,,,17AUG18
MICHIGAN,26,2607470,MI-02020,Burt Township School District,3,PS,,,,,,,,,,,3,PS,1,PS,3,PS,,,17AUG18
MICHIGAN,26,2607530,MI-78020,Byron Area Schools,90,85-89,2,PS,1,PS,,,1,PS,3,PS,83,85-89,7,GE50,17,GE80,1,PS,17AUG18
MICHIGAN,26,2607560,MI-41040,Byron Center Public Schools,252,92,1,PS,20,GE80,7,GE50,12,GE50,3,PS,209,90-94,16,40-59,61,80-84,,,17AUG18
MICHIGAN,26,2607590,MI-83010,Cadillac Area Public Schools,232,72,2,PS,1,PS,4,PS,4,PS,6,GE50,215,70-74,20,40-59,112,50-54,,,17AUG18
MICHIGAN,26,2607620,MI-41050,Caledonia Community Schools,357,93,1,PS,11,GE50,4,PS,15,GE50,6,GE50,320,93,32,70-79,46,80-89,1,PS,17AUG18
MICHIGAN,26,2607690,MI-31030,Public Schools of Calumet Laurium & Keweenaw,141,70-74,1,PS,,,,,1,PS,2,PS,137,70-74,11,GE50,67,65-69,,,17AUG18
MICHIGAN,26,2607710,MI-30010,Camden-Frontier School,40,80-89,,,,,,,,,,,40,80-89,7,LT50,18,60-79,,,17AUG18
MICHIGAN,26,2607800,MI-74040,Capac Community Schools,78,70-74,,,1,PS,,,12,GE50,2,PS,63,75-79,10,GE50,32,70-79,,,17AUG18
MICHIGAN,26,2607890,MI-25080,Carman-Ainsworth Community Schools,544,82,15,GE50,5,PS,316,84,24,60-79,32,80-89,152,75-79,56,80-89,316,78,9,GE50,17AUG18
MICHIGAN,26,2608010,MI-55010,Carney-Nadeau Public Schools,51,30-39,7,LT50,,,1,PS,,,,,43,40-49,3,PS,26,21-39,,,17AUG18
MICHIGAN,26,2608040,MI-79020,Caro Community Schools,142,75-79,1,PS,3,PS,1,PS,8,GE50,,,129,75-79,25,40-59,74,65-69,,,17AUG18
MICHIGAN,26,2608070,MI-73030,Carrollton Public Schools,183,70-74,1,PS,,,49,60-69,41,60-69,7,GE50,85,75-79,32,80-89,111,65-69,1,PS,17AUG18
MICHIGAN,26,2608130,MI-59020,Carson City-Crystal Area Schools,62,85-89,,,,,,,3,PS,,,59,80-89,8,GE50,24,60-79,3,PS,17AUG18
MICHIGAN,26,2608160,MI-76070,Carsonville-Port Sanilac School District,53,50-59,,,,,,,3,PS,,,50,60-69,9,GE50,32,50-59,,,17AUG18
MICHIGAN,26,2608280,MI-32030,Caseville Public Schools,22,60-79,,,,,,,,,,,22,60-79,3,PS,9,GE50,,,17AUG18
MICHIGAN,26,2608400,MI-79030,Cass City Public Schools,79,90-94,,,1,PS,,,1,PS,1,PS,76,90-94,8,GE50,41,GE90,1,PS,17AUG18
MICHIGAN,26,2608430,MI-14010,Cassopolis Public Schools,94,55-59,,,8,LT50,15,GE50,3,PS,5,PS,63,60-64,8,GE50,46,60-69,12,LT50,17AUG18
MICHIGAN,26,2608520,MI-41070,Cedar Springs Public Schools,239,87,1,PS,1,PS,3,PS,10,GE50,7,GE50,217,85-89,31,70-79,86,70-74,,,17AUG18
MICHIGAN,26,2608580,MI-50010,Center Line Public Schools,220,70,1,PS,18,GE80,58,60-69,8,GE50,17,GE80,118,65-69,30,60-79,139,65-69,11,GE50,17AUG18
